ID,DEFAULT,SECTOR,SUBSECTOR,O1000,O1200,O6000,P1000,P3000,P5000,N1000,N1100,N1300,N3000,N3200,N3300,M0000,M1100,M1200,M1300,M2200,M2300,M2400,CONTRACT_SUM,CONTRACT_TYPE,CONTRACT_SUBTYPE,DIM_DENOM_DEV_ID,MODE,FREQ,UK,PH,KKV,EXPOSURE,SIZE_CAT,EXPSHARE,DUR,ENTITY,MONTH,DAY
1,0,BI,I,603051.0,0.0,18633.0,16993.0,18483.0,19377.0,105196.0,2944.0,0.0,130264.0,12612.0,120502.0,239253.0,1729,47071.0,0.0,98892,0,13171.0,6357939,D,A,C,N,B,0.0,2.0,1.0,2467997.0,kat4,0.0,4.9,entity1,6,30
2,0,BE,D,310318.0,0.0,4255.0,14485.0,17362.0,14778.0,35839.0,3029.0,0.0,75752.0,9615.0,31322.0,111446.0,36,32978.0,0.0,23611,0,8033.0,9948714,A,C,C,L,B,0.0034,2.0,1.0,1327827.0,kat3,0.0,1.0,entity2,11,8
3,0,BI,K,19711743.0,4566341.638,41305.0,290507.0,205264.0,172007.0,356337.0,3349.0,0.0,2599993.0,0.0,2531450.45,3015661.0,0,240614.0,0.0,2745655,0,0.0,403688,C,F,B,L,B,0.0,2.0,2.0,0.0,kat4,22.2,3.7,entity3,4,7
4,0,BJ,G,165567.0,0.0,5542.0,9638.0,8899.0,6720.0,82578.0,5958.0,0.0,76707.0,2935.0,74952.0,167018.0,0,55827.0,0.0,67185,0,7833.0,24402388,A,D,C,G,B,3.9114,2.0,1.0,23902288.0,kat3,0.0,0.0,entity3,3,2
5,0,BH,C,3212773.0,2987.0,53149.0,22350.0,-23309.0,-24611.0,383811.0,8073.0,14951.0,1678606.0,356007.0,1314861.0,2086188.0,6737,838272.0,0.0,182086,0,18192.0,1006658509,A,D,C,G,B,,,,,kat6,0.1,,entity6,3,31
6,0,CA,C,154574.0,0.0,2894.0,11859.0,12001.0,10927.0,30994.0,3047.0,0.0,57429.0,5043.0,42741.0,100327.0,0,37896.0,0.0,33184,0,12460.0,9988203,A,C,C,C,F,4.2105,2.0,1.0,2957719.0,kat3,0.0,1.0,entity4,9,10
7,0,CM,D,110411.0,0.0,925.0,5772.0,6159.0,5534.0,10293.0,2931.0,0.0,23568.0,0.0,21826.0,33983.0,0,2773.0,0.0,13523,0,10421.0,15870461,A,D,C,F,B,,,,,kat2,0.0,32.1,entity7,12,8
8,0,BH,C,3209494.0,6851.0,15626.0,21092.0,15688.0,9207.0,137938.0,72887.0,0.0,595514.0,0.0,577353.0,720237.0,791,257625.0,0.0,157365,0,4854.0,2475414,A,C,C,F,B,,,,,kat5,0.2,0.1,entity9,1,2
9,0,BE,D,631452.0,0.0,21268.0,18169.0,15815.0,12643.0,153027.0,3031.0,0.0,185609.0,27464.0,152633.0,348773.0,0,123270.0,0.0,117237,0,32046.0,3184776,C,G,C,P,F,9.5967,2.0,2.0,2257066.0,kat4,0.0,3.1,entity10,1,3
10,0,BF,D,481341.0,0.0,22808.0,6615.0,2060.0,1208.0,14455.0,2988.0,0.0,230047.0,13586.0,204925.0,231645.0,416,192387.0,0.0,14092,0,22509.0,45555430,C,C,C,J,C,5.4071,2.0,1.0,60709585.0,kat4,0.0,5.0,entity12,1,2
